,DOSE,TREAT_RATIO,CAR_AFFINITY,ANTIGENS_CANCER,ANTIGENS_HEALTHY,Y_NORM_CANCER_LIVE,Y_NORM_HEALTHY_LIVE,Y_NORM_TCELL_LIVE,SCORE
10,1000.0,0.25,1e-06,10000.0,100.0,0.15208672197695047,0.8991660894592999,39.2005,0.03897034710277605
12,1000.0,0.5,1e-06,10000.0,100.0,0.174747591460086,0.9094208966539288,39.2684,0.019828813507826178
2,250.0,0.5,1e-07,5000.0,100.0,0.17476771694911175,0.8240430086137627,90.57560000000001,-0.0005817170338324268
9,1000.0,0.25,1e-06,5000.0,100.0,0.21059150096282186,0.9095311374881128,39.0128,-0.015839141826828173
5,500.0,0.25,1e-06,10000.0,100.0,0.2279107521942644,0.9116110854599151,58.2318,-0.032998159921424616
15,1000.0,0.75,1e-07,1000.0,100.0,0.22148887761616884,0.8416561272253047,39.6491,-0.04029928452135556
14,1000.0,0.75,1e-06,10000.0,100.0,0.24363037840824475,0.9200805381899544,38.455400000000004,-0.045665328558618115
11,1000.0,0.5,1e-06,5000.0,100.0,0.26928786516104664,0.9167901236061752,38.5013,-0.07249981285988058
13,1000.0,0.5,1e-07,500.0,100.0,0.25440911711125136,0.8182655689376312,40.363600000000005,-0.0787452012028274
7,500.0,0.5,1e-06,10000.0,100.0,0.2781365223414512,0.9162973832995306,56.74300000000001,-0.08166738155736543
8,500.0,0.5,1e-07,1000.0,100.0,0.26289413430802683,0.8196873529085413,56.7814,-0.08744383623941117
3,250.0,0.75,1e-07,10000.0,100.0,0.28580994302956403,0.8472515372236706,79.4184,-0.10586153147817563
4,500.0,0.25,1e-06,5000.0,100.0,0.3256254222470405,0.9260704347057244,56.288,-0.12693633845644456
6,500.0,0.25,1e-07,500.0,100.0,0.3088035065421052,0.8244260797519465,59.5212,-0.13197338680758702
0,250.0,0.25,1e-06,10000.0,100.0,0.33166099350829165,0.918156163225936,88.5544,-0.1344575094962875
1,250.0,0.25,1e-07,1000.0,100.0,0.3273182810316627,0.8365361541773186,96.43440000000001,-0.14782410609919777
