,DOSE,TREAT_RATIO,CAR_AFFINITY,ANTIGENS_CANCER,ANTIGENS_HEALTHY,Y_NORM_CANCER_LIVE,Y_NORM_HEALTHY_LIVE,Y_NORM_TCELL_LIVE,SCORE
1,1000.0,0.25,1e-06,10000.0,100.0,0.05855161787365177,0.8939863608183509,39.192,0.12129870703989745
0,1000.0,0.25,1e-06,10000.0,100.0,0.058922558922558925,0.89376,54.596,0.11096334187744106
21,1000.0,0.5,1e-06,10000.0,100.0,0.0639269406392694,0.8961562306261625,37.595,0.1185822483010247
41,1000.0,0.5,1e-07,500.0,100.0,0.0899390243902439,0.8220706757594545,38.139,0.07722723825643996
25,1000.0,0.5,1e-06,10000.0,100.0,0.09217391304347826,0.9048496009821977,52.652,0.06752176546013243
92,250.0,0.5,1e-07,5000.0,100.0,0.09701492537313433,0.8496913580246913,69.656,0.07869285545295923
5,1000.0,0.25,1e-06,10000.0,100.0,0.10314685314685315,0.8947206875383671,51.391,0.05393731912814562
60,1000.0,0.75,1e-07,1000.0,100.0,0.11428571428571428,0.8133802816901409,55.387,0.04063146484541051
20,1000.0,0.5,1e-06,10000.0,100.0,0.11467116357504216,0.9056,54.501,0.057175492424957855
10,1000.0,0.25,1e-06,5000.0,100.0,0.11725293132328309,0.89888,54.711,0.0544691038767169
15,1000.0,0.25,1e-06,5000.0,100.0,0.12629757785467127,0.9057704112952731,51.851,0.03439465594786642
11,1000.0,0.25,1e-06,5000.0,100.0,0.12652439024390244,0.9085554866707998,38.582,0.05822836835995518
111,500.0,0.25,1e-06,10000.0,100.0,0.12710566615620214,0.9218846869187849,59.036,0.059500254661518426
65,1000.0,0.75,1e-07,1000.0,100.0,0.12758620689655173,0.8170656844689994,54.619,0.01787054478915104
90,250.0,0.5,1e-07,5000.0,100.0,0.1423670668953688,0.8345070422535211,93.644,0.013368402257577044
50,1000.0,0.75,1e-06,10000.0,100.0,0.14453781512605043,0.9088,53.721,0.028497704873949592
40,1000.0,0.5,1e-07,500.0,100.0,0.14695945945945946,0.79616,56.808,0.00386509094054055
51,1000.0,0.75,1e-06,10000.0,100.0,0.1471927162367223,0.9159950402975822,39.088,0.03992468350168646
55,1000.0,0.75,1e-06,10000.0,100.0,0.15025906735751296,0.9140577041129527,52.877,0.012183968456299071
97,250.0,0.5,1e-07,5000.0,100.0,0.15328467153284672,0.818912237330037,103.084,0.020063561647337275
152,500.0,0.5,1e-07,1000.0,100.0,0.15851851851851853,0.8197530864197531,44.242,0.012263374485596695
2,1000.0,0.25,1e-06,10000.0,100.0,0.1636904761904762,0.9228395061728395,32.78,0.027713273237964575
6,1000.0,0.25,1e-06,10000.0,100.0,0.16600265604249667,0.8942989214175655,34.13,0.04151878858845151
91,250.0,0.5,1e-07,5000.0,100.0,0.1694915254237288,0.8484190948543088,87.492,0.0011916712782074623
105,250.0,0.75,1e-07,10000.0,100.0,0.16987740805604204,0.8615715162676488,79.98,-0.01887761192687462
31,1000.0,0.5,1e-06,5000.0,100.0,0.17073170731707318,0.9206447613143212,36.681,0.016479378678647433
93,250.0,0.5,1e-07,5000.0,100.0,0.17438692098092642,0.8097591105620754,83.588,0.00917181501430625
8,1000.0,0.25,1e-06,10000.0,100.0,0.17700453857791226,0.8824432166973604,33.4,0.002030134914093651
4,1000.0,0.25,1e-06,10000.0,100.0,0.17941952506596306,0.9117283950617284,36.102,0.033879895754033884
112,500.0,0.25,1e-06,10000.0,100.0,0.17979197622585438,0.9191358024691358,52.9,0.011127281509246967
45,1000.0,0.5,1e-07,500.0,100.0,0.18072289156626506,0.8155310006138735,53.816,-0.03528903295464428
9,1000.0,0.25,1e-06,10000.0,100.0,0.18401015228426396,0.8918586789554531,38.202,0.03189910701432194
61,1000.0,0.75,1e-07,1000.0,100.0,0.18816388467374812,0.8589584624922505,38.436,-0.012697788336986454
30,1000.0,0.5,1e-06,5000.0,100.0,0.18855218855218855,0.90912,54.057,-0.015746658952188547
102,250.0,0.75,1e-07,10000.0,100.0,0.1925925925925926,0.8728395061728395,59.196,-0.010751028806584378
148,500.0,0.5,1e-06,10000.0,100.0,0.19369369369369369,0.90914671577655,55.172,-0.007846022512851963
24,1000.0,0.5,1e-06,10000.0,100.0,0.19375812743823148,0.9101851851851852,34.045,0.022270393366523894
117,500.0,0.25,1e-06,10000.0,100.0,0.19480519480519481,0.9119283065512979,61.782,0.0004872391997648162
7,1000.0,0.25,1e-06,10000.0,100.0,0.19530102790014683,0.9051297898640297,37.655,-0.004820994866338357
156,500.0,0.5,1e-07,1000.0,100.0,0.1965923984272608,0.7784966112138016,54.824,-0.013600126598508289
