,DOSE,TREAT_RATIO,CAR_AFFINITY,ANTIGENS_CANCER,ANTIGENS_HEALTHY,Y_NORM_CANCER_LIVE,Y_NORM_HEALTHY_LIVE,Y_NORM_TCELL_LIVE,SCORE
478,1000.0,0.25,1e-09,10000.0,0.0,0.0001,1.6103,64.8804,1.6102
476,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.5963,65.1495,1.5963
468,1000.0,0.25,1e-08,10000.0,0.0,0.0001,1.5712000000000002,65.44770000000001,1.5711
474,1000.0,0.25,1e-09,1000.0,0.0,0.0001,1.5712000000000002,65.44770000000001,1.5711
466,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.5373,66.21470000000001,1.5373
472,1000.0,0.25,1e-09,500.0,0.0,0.0,1.5373,66.21470000000001,1.5373
276,500.0,0.25,1e-09,5000.0,0.0,0.0014000000000000002,1.4966000000000002,134.67159999999998,1.4952
278,500.0,0.25,1e-09,10000.0,0.0,0.0012000000000000001,1.49,134.9338,1.4888
268,500.0,0.25,1e-08,10000.0,0.0,0.0009000000000000001,1.4554,136.01680000000002,1.4545
274,500.0,0.25,1e-09,1000.0,0.0,0.0009000000000000001,1.4554,136.01680000000002,1.4545
266,500.0,0.25,1e-08,5000.0,0.0,0.001,1.4107999999999996,138.7348,1.4098
272,500.0,0.25,1e-09,500.0,0.0,0.001,1.4107999999999996,138.7348,1.4098
518,1000.0,0.5,1e-09,10000.0,0.0,0.0002,1.4093,70.0147,1.4091
516,1000.0,0.5,1e-09,5000.0,0.0,0.0007,1.4005999999999998,70.2352,1.3999
508,1000.0,0.5,1e-08,10000.0,0.0,0.0001,1.3689999999999998,70.8542,1.3689
514,1000.0,0.5,1e-09,1000.0,0.0,0.0001,1.3689999999999998,70.8542,1.3689
506,1000.0,0.5,1e-08,5000.0,0.0,0.0005,1.3445000000000003,71.454,1.344
512,1000.0,0.5,1e-09,500.0,0.0,0.0005,1.3445000000000003,71.454,1.344
318,500.0,0.5,1e-09,10000.0,0.0,0.011099999999999999,1.3052,143.9402,1.2941
316,500.0,0.5,1e-09,5000.0,0.0,0.011800000000000001,1.3044,144.385,1.2926
308,500.0,0.5,1e-08,10000.0,0.0,0.0127,1.2779999999999998,145.11399999999998,1.2652999999999999
314,500.0,0.5,1e-09,1000.0,0.0,0.0127,1.2779999999999998,145.11399999999998,1.2652999999999999
78,250.0,0.25,1e-09,10000.0,0.0,0.09389999999999998,1.3514,270.58599999999996,1.2574999999999998
458,1000.0,0.25,1e-07,10000.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
464,1000.0,0.25,1e-08,1000.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
470,1000.0,0.25,1e-09,100.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
76,250.0,0.25,1e-09,5000.0,0.0,0.0967,1.3421999999999998,270.56440000000003,1.2454999999999998
306,500.0,0.5,1e-08,5000.0,0.0,0.0128,1.2514999999999998,146.6596,1.2387000000000001
312,500.0,0.5,1e-09,500.0,0.0,0.0128,1.2514999999999998,146.6596,1.2387000000000001
68,250.0,0.25,1e-08,10000.0,0.0,0.09229999999999998,1.3248,272.6228,1.2325000000000002
74,250.0,0.25,1e-09,1000.0,0.0,0.09229999999999998,1.3248,272.6228,1.2325000000000002
66,250.0,0.25,1e-08,5000.0,0.0,0.11230000000000002,1.2842,274.6356,1.1718999999999997
72,250.0,0.25,1e-09,500.0,0.0,0.11230000000000002,1.2842,274.6356,1.1718999999999997
258,500.0,0.25,1e-07,10000.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
264,500.0,0.25,1e-08,1000.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
270,500.0,0.25,1e-09,100.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
556,1000.0,0.75,1e-09,5000.0,0.0,0.024,1.1599000000000002,76.1406,1.1359000000000001
498,1000.0,0.5,1e-07,10000.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
504,1000.0,0.5,1e-08,1000.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
510,1000.0,0.5,1e-09,100.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
558,1000.0,0.75,1e-09,10000.0,0.0,0.0256,1.1584,76.04419999999999,1.1328
548,1000.0,0.75,1e-08,10000.0,0.0,0.024,1.1463,76.3706,1.1222999999999999
554,1000.0,0.75,1e-09,1000.0,0.0,0.024,1.1463,76.3706,1.1222999999999999
456,1000.0,0.25,1e-07,5000.0,0.0,0.0004,1.1082000000000003,75.03190000000001,1.1078000000000001
462,1000.0,0.25,1e-08,500.0,0.0,0.0004,1.1082000000000003,75.03190000000001,1.1078000000000001
546,1000.0,0.75,1e-08,5000.0,0.0,0.0232,1.121,76.8406,1.0977999999999999
552,1000.0,0.75,1e-09,500.0,0.0,0.0232,1.121,76.8406,1.0977999999999999
298,500.0,0.5,1e-07,10000.0,0.0,0.021300000000000003,1.0878,151.6704,1.0665
304,500.0,0.5,1e-08,1000.0,0.0,0.021300000000000003,1.0878,151.6704,1.0665
