,DOSE,TREAT_RATIO,CAR_AFFINITY,ANTIGENS_CANCER,ANTIGENS_HEALTHY,Y_NORM_CANCER_LIVE,Y_NORM_HEALTHY_LIVE,Y_NORM_TCELL_LIVE,SCORE
476,1000.0,0.25,1e-09,5000.0,0.0,0.0,1.5963,65.1495,1.5963
466,1000.0,0.25,1e-08,5000.0,0.0,0.0,1.5373,66.21470000000001,1.5373
472,1000.0,0.25,1e-09,500.0,0.0,0.0,1.5373,66.21470000000001,1.5373
509,1000.0,0.5,1e-08,10000.0,100.0,0.0,0.0010000000000000002,89.57079999999999,0.0010000000000000002
463,1000.0,0.25,1e-08,500.0,100.0,0.0,0.0,87.11359999999999,0.0
467,1000.0,0.25,1e-08,5000.0,100.0,0.0,0.0,89.35820000000001,0.0
469,1000.0,0.25,1e-08,10000.0,100.0,0.0,0.0,89.3475,0.0
471,1000.0,0.25,1e-09,100.0,100.0,0.0,0.0,86.55449999999998,0.0
473,1000.0,0.25,1e-09,500.0,100.0,0.0,0.0,82.98429999999999,0.0
475,1000.0,0.25,1e-09,1000.0,100.0,0.0,0.0,82.6951,0.0
477,1000.0,0.25,1e-09,5000.0,100.0,0.0,0.0,82.42909999999999,0.0
479,1000.0,0.25,1e-09,10000.0,100.0,0.0,0.0,82.606,0.0
478,1000.0,0.25,1e-09,10000.0,0.0,0.0001,1.6103,64.8804,1.6102
468,1000.0,0.25,1e-08,10000.0,0.0,0.0001,1.5712000000000002,65.44770000000001,1.5711
474,1000.0,0.25,1e-09,1000.0,0.0,0.0001,1.5712000000000002,65.44770000000001,1.5711
508,1000.0,0.5,1e-08,10000.0,0.0,0.0001,1.3689999999999998,70.8542,1.3689
514,1000.0,0.5,1e-09,1000.0,0.0,0.0001,1.3689999999999998,70.8542,1.3689
457,1000.0,0.25,1e-07,5000.0,100.0,0.0001,0.0153,82.4113,0.0152
459,1000.0,0.25,1e-07,10000.0,100.0,0.0001,0.006900000000000001,83.5411,0.0068000000000000005
513,1000.0,0.5,1e-09,500.0,100.0,0.0001,0.0001,87.0565,0.0
519,1000.0,0.5,1e-09,10000.0,100.0,0.0001,0.0001,86.4735,0.0
465,1000.0,0.25,1e-08,1000.0,100.0,0.0001,0.0,89.09450000000001,-0.0001
518,1000.0,0.5,1e-09,10000.0,0.0,0.0002,1.4093,70.0147,1.4091
458,1000.0,0.25,1e-07,10000.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
464,1000.0,0.25,1e-08,1000.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
470,1000.0,0.25,1e-09,100.0,0.0,0.0002,1.2460999999999998,73.44210000000001,1.2459
456,1000.0,0.25,1e-07,5000.0,0.0,0.0004,1.1082000000000003,75.03190000000001,1.1078000000000001
462,1000.0,0.25,1e-08,500.0,0.0,0.0004,1.1082000000000003,75.03190000000001,1.1078000000000001
517,1000.0,0.5,1e-09,5000.0,100.0,0.0004,0.0005,86.4659,0.0001
515,1000.0,0.5,1e-09,1000.0,100.0,0.0004,0.0001,86.7021,-0.00030000000000000003
506,1000.0,0.5,1e-08,5000.0,0.0,0.0005,1.3445000000000003,71.454,1.344
512,1000.0,0.5,1e-09,500.0,0.0,0.0005,1.3445000000000003,71.454,1.344
507,1000.0,0.5,1e-08,5000.0,100.0,0.0006000000000000001,0.0012000000000000001,89.7091,0.0006000000000000001
511,1000.0,0.5,1e-09,100.0,100.0,0.0006000000000000001,0.0001,89.7635,-0.0005
516,1000.0,0.5,1e-09,5000.0,0.0,0.0007,1.4005999999999998,70.2352,1.3999
498,1000.0,0.5,1e-07,10000.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
504,1000.0,0.5,1e-08,1000.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
510,1000.0,0.5,1e-09,100.0,0.0,0.0007,1.1362999999999999,75.8527,1.1356
265,500.0,0.25,1e-08,1000.0,100.0,0.0007,0.0033,176.0768,0.0026000000000000003
269,500.0,0.25,1e-08,10000.0,100.0,0.0007,0.0025,177.75140000000002,0.0018000000000000002
268,500.0,0.25,1e-08,10000.0,0.0,0.0009000000000000001,1.4554,136.01680000000002,1.4545
274,500.0,0.25,1e-09,1000.0,0.0,0.0009000000000000001,1.4554,136.01680000000002,1.4545
275,500.0,0.25,1e-09,1000.0,100.0,0.0009000000000000001,0.0005,168.78379999999999,-0.0004
266,500.0,0.25,1e-08,5000.0,0.0,0.001,1.4107999999999996,138.7348,1.4098
272,500.0,0.25,1e-09,500.0,0.0,0.001,1.4107999999999996,138.7348,1.4098
505,1000.0,0.5,1e-08,1000.0,100.0,0.001,0.0019000000000000002,88.03450000000001,0.0009000000000000001
499,1000.0,0.5,1e-07,10000.0,100.0,0.0010000000000000002,0.035699999999999996,83.3794,0.034699999999999995
278,500.0,0.25,1e-09,10000.0,0.0,0.0012000000000000001,1.49,134.9338,1.4888
273,500.0,0.25,1e-09,500.0,100.0,0.0012000000000000001,0.00030000000000000003,169.7038,-0.0009000000000000001
276,500.0,0.25,1e-09,5000.0,0.0,0.0014000000000000002,1.4966000000000002,134.67159999999998,1.4952
277,500.0,0.25,1e-09,5000.0,100.0,0.0014000000000000002,0.0006000000000000001,168.42559999999997,-0.0008
279,500.0,0.25,1e-09,10000.0,100.0,0.0016,0.0005,168.2486,-0.0010999999999999998
271,500.0,0.25,1e-09,100.0,100.0,0.0017000000000000001,0.0006000000000000001,176.3014,-0.0010999999999999998
503,1000.0,0.5,1e-08,500.0,100.0,0.0019,0.0029,86.0761,0.0009999999999999998
263,500.0,0.25,1e-08,500.0,100.0,0.0019000000000000002,0.0047,172.58199999999997,0.0028
497,1000.0,0.5,1e-07,5000.0,100.0,0.0019999999999999996,0.0641,81.11550000000001,0.0621
496,1000.0,0.5,1e-07,5000.0,0.0,0.0021000000000000003,1.0589,75.0377,1.0568
502,1000.0,0.5,1e-08,500.0,0.0,0.0021000000000000003,1.0589,75.0377,1.0568
267,500.0,0.25,1e-08,5000.0,100.0,0.0021999999999999997,0.0023000000000000004,177.12759999999997,0.00010000000000000009
259,500.0,0.25,1e-07,10000.0,100.0,0.0023,0.0385,168.20819999999998,0.036199999999999996
258,500.0,0.25,1e-07,10000.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
264,500.0,0.25,1e-08,1000.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
270,500.0,0.25,1e-09,100.0,0.0,0.0026000000000000003,1.1566999999999996,149.5154,1.1541
257,500.0,0.25,1e-07,5000.0,100.0,0.0027999999999999995,0.0668,165.2832,0.06399999999999999
461,1000.0,0.25,1e-08,100.0,100.0,0.0043,0.0023,82.9476,-0.0020000000000000005
256,500.0,0.25,1e-07,5000.0,0.0,0.0047,1.0684999999999998,150.3896,1.0638
262,500.0,0.25,1e-08,500.0,0.0,0.0047,1.0684999999999998,150.3896,1.0638
307,500.0,0.5,1e-08,5000.0,100.0,0.0097,0.014500000000000002,176.72899999999998,0.0048000000000000004
313,500.0,0.5,1e-09,500.0,100.0,0.01,0.0066,175.03019999999998,-0.0034000000000000002
315,500.0,0.5,1e-09,1000.0,100.0,0.010700000000000001,0.0055,174.11000000000004,-0.0052
317,500.0,0.5,1e-09,5000.0,100.0,0.0108,0.0055000000000000005,172.9964,-0.0053
318,500.0,0.5,1e-09,10000.0,0.0,0.011099999999999999,1.3052,143.9402,1.2941
309,500.0,0.5,1e-08,10000.0,100.0,0.0114,0.012600000000000004,176.6466,0.0012000000000000001
316,500.0,0.5,1e-09,5000.0,0.0,0.011800000000000001,1.3044,144.385,1.2926
319,500.0,0.5,1e-09,10000.0,100.0,0.0123,0.0057,173.49439999999998,-0.0066
308,500.0,0.5,1e-08,10000.0,0.0,0.0127,1.2779999999999998,145.11399999999998,1.2652999999999999
314,500.0,0.5,1e-09,1000.0,0.0,0.0127,1.2779999999999998,145.11399999999998,1.2652999999999999
306,500.0,0.5,1e-08,5000.0,0.0,0.0128,1.2514999999999998,146.6596,1.2387000000000001
312,500.0,0.5,1e-09,500.0,0.0,0.0128,1.2514999999999998,146.6596,1.2387000000000001
559,1000.0,0.75,1e-09,10000.0,100.0,0.014900000000000002,0.010499999999999999,90.2754,-0.0044
555,1000.0,0.75,1e-09,1000.0,100.0,0.016100000000000003,0.0123,90.10069999999999,-0.003799999999999999
553,1000.0,0.75,1e-09,500.0,100.0,0.0167,0.0123,90.16579999999998,-0.004400000000000001
557,1000.0,0.75,1e-09,5000.0,100.0,0.0174,0.013300000000000001,90.089,-0.004100000000000001
311,500.0,0.5,1e-09,100.0,100.0,0.0177,0.0070999999999999995,177.9442,-0.0106
549,1000.0,0.75,1e-08,10000.0,100.0,0.018999999999999996,0.026099999999999995,87.7748,0.0070999999999999995
305,500.0,0.5,1e-08,1000.0,100.0,0.0191,0.019400000000000004,172.6542,0.00029999999999999976
298,500.0,0.5,1e-07,10000.0,0.0,0.021300000000000003,1.0878,151.6704,1.0665
304,500.0,0.5,1e-08,1000.0,0.0,0.021300000000000003,1.0878,151.6704,1.0665
310,500.0,0.5,1e-09,100.0,0.0,0.021300000000000003,1.0878,151.6704,1.0665
455,1000.0,0.25,1e-07,1000.0,100.0,0.022,0.2031,77.8385,0.18109999999999998
299,500.0,0.5,1e-07,10000.0,100.0,0.022899999999999997,0.1131,165.2238,0.09019999999999997
546,1000.0,0.75,1e-08,5000.0,0.0,0.0232,1.121,76.8406,1.0977999999999999
552,1000.0,0.75,1e-09,500.0,0.0,0.0232,1.121,76.8406,1.0977999999999999
556,1000.0,0.75,1e-09,5000.0,0.0,0.024,1.1599000000000002,76.1406,1.1359000000000001
548,1000.0,0.75,1e-08,10000.0,0.0,0.024,1.1463,76.3706,1.1222999999999999
554,1000.0,0.75,1e-09,1000.0,0.0,0.024,1.1463,76.3706,1.1222999999999999
558,1000.0,0.75,1e-09,10000.0,0.0,0.0256,1.1584,76.04419999999999,1.1328
547,1000.0,0.75,1e-08,5000.0,100.0,0.026000000000000002,0.03150000000000001,87.7316,0.0055000000000000005
551,1000.0,0.75,1e-09,100.0,100.0,0.0268,0.015799999999999998,88.90990000000001,-0.011000000000000001
448,1000.0,0.25,1e-06,10000.0,0.0,0.028599999999999997,0.97,71.91159999999999,0.9414000000000001
454,1000.0,0.25,1e-07,1000.0,0.0,0.028599999999999997,0.97,71.91159999999999,0.9414000000000001
460,1000.0,0.25,1e-08,100.0,0.0,0.028599999999999997,0.97,71.91159999999999,0.9414000000000001
449,1000.0,0.25,1e-06,10000.0,100.0,0.028800000000000003,0.7457,73.09299999999999,0.7169
297,500.0,0.5,1e-07,5000.0,100.0,0.029400000000000003,0.15990000000000001,160.3118,0.1305
303,500.0,0.5,1e-08,500.0,100.0,0.031000000000000007,0.0252,168.029,-0.005800000000000001
296,500.0,0.5,1e-07,5000.0,0.0,0.0366,1.0149,148.92119999999994,0.9783
302,500.0,0.5,1e-08,500.0,0.0,0.0366,1.0149,148.92119999999994,0.9783
545,1000.0,0.75,1e-08,1000.0,100.0,0.03679999999999999,0.039799999999999995,84.8505,0.003
538,1000.0,0.75,1e-07,10000.0,0.0,0.03989999999999999,1.0323000000000002,75.7595,0.9924000000000002
544,1000.0,0.75,1e-08,1000.0,0.0,0.03989999999999999,1.0323000000000002,75.7595,0.9924000000000002
550,1000.0,0.75,1e-09,100.0,0.0,0.03989999999999999,1.0323000000000002,75.7595,0.9924000000000002
539,1000.0,0.75,1e-07,10000.0,100.0,0.04279999999999999,0.20859999999999998,80.4564,0.1658
501,1000.0,0.5,1e-08,100.0,100.0,0.04739999999999999,0.017699999999999997,80.7884,-0.029700000000000004
537,1000.0,0.75,1e-07,5000.0,100.0,0.0662,0.2672,77.8666,0.20100000000000007
543,1000.0,0.75,1e-08,500.0,100.0,0.07319999999999997,0.055700000000000006,82.14800000000001,-0.017499999999999998
536,1000.0,0.75,1e-07,5000.0,0.0,0.0765,0.985,73.55049999999999,0.9084999999999999
542,1000.0,0.75,1e-08,500.0,0.0,0.0765,0.985,73.55049999999999,0.9084999999999999
261,500.0,0.25,1e-08,100.0,100.0,0.08049999999999999,0.0251,163.46460000000002,-0.055400000000000005
68,250.0,0.25,1e-08,10000.0,0.0,0.09229999999999998,1.3248,272.6228,1.2325000000000002
74,250.0,0.25,1e-09,1000.0,0.0,0.09229999999999998,1.3248,272.6228,1.2325000000000002
78,250.0,0.25,1e-09,10000.0,0.0,0.09389999999999998,1.3514,270.58599999999996,1.2574999999999998
495,1000.0,0.5,1e-07,1000.0,100.0,0.0964,0.31429999999999997,75.1517,0.21790000000000004
76,250.0,0.25,1e-09,5000.0,0.0,0.0967,1.3421999999999998,270.56440000000003,1.2454999999999998
66,250.0,0.25,1e-08,5000.0,0.0,0.11230000000000002,1.2842,274.6356,1.1718999999999997
72,250.0,0.25,1e-09,500.0,0.0,0.11230000000000002,1.2842,274.6356,1.1718999999999997
69,250.0,0.25,1e-08,10000.0,100.0,0.1145,0.09719999999999998,327.47439999999995,-0.017300000000000003
488,1000.0,0.5,1e-06,10000.0,0.0,0.11969999999999999,0.9629,69.885,0.8432000000000001
494,1000.0,0.5,1e-07,1000.0,0.0,0.11969999999999999,0.9629,69.885,0.8432000000000001
500,1000.0,0.5,1e-08,100.0,0.0,0.11969999999999999,0.9629,69.885,0.8432000000000001
489,1000.0,0.5,1e-06,10000.0,100.0,0.12179999999999999,0.7977000000000001,70.68159999999999,0.6759000000000002
67,250.0,0.25,1e-08,5000.0,100.0,0.12249999999999998,0.0891,328.4036,-0.0334
248,500.0,0.25,1e-06,10000.0,0.0,0.12350000000000001,0.9620999999999998,140.323,0.8385999999999999
254,500.0,0.25,1e-07,1000.0,0.0,0.12350000000000001,0.9620999999999998,140.323,0.8385999999999999
260,500.0,0.25,1e-08,100.0,0.0,0.12350000000000001,0.9620999999999998,140.323,0.8385999999999999
73,250.0,0.25,1e-09,500.0,100.0,0.12390000000000001,0.043199999999999995,322.8364,-0.08070000000000002
255,500.0,0.25,1e-07,1000.0,100.0,0.12440000000000002,0.3781,150.9894,0.2537
77,250.0,0.25,1e-09,5000.0,100.0,0.12569999999999998,0.040100000000000004,322.1692,-0.0856
58,250.0,0.25,1e-07,10000.0,0.0,0.12660000000000002,1.1036,287.9148,0.9770000000000001
